Date,Description,Amount,Balance,Category
11/30/2025,STARBUCKS STORE #04821,-6.05,26009.89,Coffee & Snacks
11/30/2025,DIRECT DEP ACME CORP PAYROLL,+2000.00,28009.89,Income - Salary
12/01/2025,DUTCH BROS COFFEE,-7.34,28002.55,Coffee & Snacks
12/02/2025,CITY VIEW PROPERTIES LLC - RENT,-1000.00,27002.55,Rent
12/02/2025,WEGMANS #0041,-97.15,26905.40,Groceries
12/02/2025,CARIBOU COFFEE #4820,-6.78,26898.62,Coffee & Snacks
12/03/2025,STARBUCKS #12043,-4.78,26893.84,Coffee & Snacks
12/04/2025,RITE AID #30490,-35.30,26858.54,Health & Pharmacy
12/05/2025,BUFFALO WILD WINGS #4821,-34.61,26823.93,Dining Out
12/07/2025,ALDI #172,-82.10,26741.83,Groceries
12/07/2025,CIRCLE K FUEL #4821,-53.32,26688.51,Gas & Auto
12/07/2025,SHAKE SHACK #0284,-24.25,26664.26,Dining Out
12/07/2025,LOCAL GRIND CAFE,-5.96,26658.30,Coffee & Snacks
12/09/2025,LOCAL GRIND CAFE,-8.71,26649.59,Coffee & Snacks
12/10/2025,ALDI #172,-95.76,26553.83,Groceries
12/10/2025,AMZN MKTP US*RT49X2,-34.50,26519.33,Online Shopping
12/10/2025,LOCAL GRIND CAFE,-4.52,26514.81,Coffee & Snacks
12/11/2025,METRO ELECTRIC CO AUTO-PAY,-80.09,26434.72,Utilities
12/11/2025,AMAZON.COM*MK7X2BAM,-47.99,26386.73,Shopping - Gifts
12/12/2025,BEST BUY 00012345,-62.50,26324.23,Shopping - Gifts
12/12/2025,SUBWAY #482910,-17.83,26306.40,Dining Out
12/12/2025,CARIBOU COFFEE #4820,-5.19,26301.21,Coffee & Snacks
12/13/2025,SHAKE SHACK #0284,-35.43,26265.78,Dining Out
12/13/2025,TARGET T-2847,-34.25,26231.53,Shopping - Gifts
12/13/2025,DUTCH BROS COFFEE,-4.62,26226.91,Coffee & Snacks
12/14/2025,SHAKE SHACK #0284,-34.42,26192.49,Dining Out
12/14/2025,LOCAL GRIND CAFE,-4.59,26187.90,Coffee & Snacks
12/15/2025,ETSY.COM SHOPHANDMADE,-28.99,26158.91,Shopping - Gifts
12/15/2025,PEET'S COFFEE #2044,-7.35,26151.56,Coffee & Snacks
12/15/2025,DIRECT DEP ACME CORP PAYROLL,+2000.00,28151.56,Income - Salary
12/16/2025,BARNES AND NOBLE #1045,-26.27,28125.29,Shopping - Gifts
12/17/2025,DUNKIN #880321,-7.43,28117.86,Coffee & Snacks
12/18/2025,NETFLIX.COM 866-579-7172,-18.00,28099.86,Subscriptions
12/20/2025,TOTAL WINE #4821,-55.20,28044.66,Shopping
12/23/2025,SAFEWAY STORE 2204,-73.38,27971.28,Groceries
12/25/2025,GIANT FOOD #0482,-98.14,27873.14,Groceries
12/25/2025,EXXON MOBIL 58493020,-59.38,27813.76,Gas & Auto
12/31/2025,HARRIS TEETER #0284,-93.56,27720.20,Groceries
12/31/2025,APPLEBEE'S #28470,-27.99,27692.21,Dining Out
12/31/2025,STARBUCKS #12043,-7.82,27684.39,Coffee & Snacks
12/31/2025,INTEREST PAYMENT,+5.43,27689.82,Income - Interest
12/31/2025,DIRECT DEP ACME CORP PAYROLL,+2000.00,29689.82,Income - Salary
